Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2022,MA,8,284583,189987,82126
2022,MA,9,342455,197823,136347
2022,MD,1,293358,126511,159673
2022,MD,2,268434,158998,109075
2022,MD,3,291602,175514,115801
2022,MD,4,160009,144168,15441
2022,MD,5,276920,182478,94000
2022,MD,6,256398,140295,115771
2022,MD,7,184801,151640,32737
2022,MD,8,264206,211842,47965
2022,ME,1,358138,219753,129263
2022,ME,2,656104,165136,146142
2022,MI,1,388599,145403,233094
2022,MI,10,326237,157602,159202
2022,MI,11,366179,224537,141642
2022,MI,12,277577,196643,72888
2022,MI,13,234444,166650,56187
2022,MI,2,339521,116452,216222
2022,MI,3,338988,185989,142229
2022,MI,4,338348,143690,183936
2022,MI,5,317258,110946,198020
2022,MI,6,366927,241759,125167
2022,MI,7,372708,192809,172624
2022,MI,8,335829,178322,143850
2022,MI,9,372922,123702,238300
2022,MN,1,296547,0,159621
2022,MN,2,325472,165583,148576
2022,MN,3,333921,198883,134797
2022,MN,4,295973,200055,95493
2022,MN,5,288206,214224,70702
2022,MN,6,319767,0,198145
2022,MN,7,305866,0,204766
2022,MN,8,330080,0,188755
2022,MO,1,220958,160999,53767
2022,MO,2,315666,135895,173277
2022,MO,3,277597,96851,180746
2022,MO,4,255079,67069,181890
2022,MO,5,230555,140688,84008
2022,MO,6,262892,72253,184865
2022,MO,7,251947,67485,178592
2022,MO,8,245395,53738,186472
2022,MS,1,167389,45238,122151
2022,MS,2,180169,108285,71884
2022,MS,3,187284,54803,132481
2022,MS,4,174258,42876,127813
2022,MT,1,247960,115265,123102
2022,MT,2,215672,43480,121979
2022,NC,1,257776,134996,122780
2022,NC,10,268207,73174,194681
2022,NC,11,323912,144165,174232
2022,NC,12,223908,140494,83414
2022,NC,13,277346,143090,134256
2022,NC,14,257752,148738,109014
2022,NC,2,294869,190714,104155
2022,NC,3,248898,82378,166520
2022,NC,4,291425,194983,96442
2022,NC,5,277548,102269,175279
2022,NC,6,258998,139553,116635
2022,NC,7,284269,120222,164047
2022,NC,8,263190,79192,183998
