Year,State,CD #,Total Congressional Votes,Congressional D Votes,Congressional R Votes
2024,TX,22,336889,127604,209285
2024,TX,23,290093,109373,180720
2024,TX,24,376626,149518,227108
2024,TX,25,264703,0,263042
2024,TX,26,388427,138558,241096
2024,TX,27,278576,94596,183980
2024,TX,28,237298,125280,112018
2024,TX,29,152209,99379,52830
2024,TX,3,380747,142953,237794
2024,TX,30,232825,197650,0
2024,TX,31,355557,126470,229087
2024,TX,32,232464,140536,85941
2024,TX,33,166153,114289,51864
2024,TX,34,200383,102780,97603
2024,TX,35,253119,170509,82610
2024,TX,36,297018,91009,206009
2024,TX,37,340857,252980,80366
2024,TX,38,342764,127640,215030
2024,TX,4,353299,111696,241603
2024,TX,5,299897,107712,192185
2024,TX,6,286438,98319,188119
2024,TX,7,244471,149820,94651
2024,TX,8,342177,108754,233423
2024,TX,9,184141,184141,0
2024,UT,1,365895,117319,230975
2024,UT,2,353838,121114,205234
2024,UT,3,365276,122780,242496
2024,UT,4,363668,109838,230627
2024,VA,1,478906,208445,269657
2024,VA,10,413012,215131,196343
2024,VA,11,410186,273529,134802
2024,VA,2,408702,191666,207368
2024,VA,3,314397,219926,93801
2024,VA,4,375508,252885,121814
2024,VA,5,435839,184229,249564
2024,VA,6,407035,141612,256933
2024,VA,7,397299,203336,192847
2024,VA,8,383915,274593,94676
2024,VA,9,400963,109570,290645
2024,VT,AL,372885,218398,0
2024,WA,1,360658,227213,132538
2024,WA,10,348044,203732,143492
2024,WA,2,413220,263750,148167
2024,WA,3,415904,215177,199054
2024,WA,4,295052,0,289652
2024,WA,5,397286,156074,240619
2024,WA,6,422622,239687,182182
2024,WA,7,419819,352286,66220
2024,WA,8,416277,224607,190675
2024,WA,9,279298,273381,0
2024,WI,1,393493,172402,212515
2024,WI,2,457257,320317,136357
2024,WI,3,413181,200808,212064
2024,WI,4,334282,249938,74921
2024,WI,5,466682,165653,300521
2024,WI,6,411349,159042,251889
2024,WI,7,430384,156524,273553
2024,WI,8,418978,178666,240040
2024,WV,1,344319,90038,228491
2024,WV,2,378965,110775,268190
2024,WY,AL,271123,60778,184680
