State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes
CA,29,2022,0.38,50.0,0.18,19.0,25.0,119435.0,119435.0,0.0,209686.0,146312.0,63374.0
CA,30,2022,0.35,39.0,0.15,12.0,25.0,211068.0,211068.0,0.0,311659.0,213100.0,98559.0
CA,31,2022,0.37,46.0,0.11,2.0,24.0,153625.0,91472.0,62153.0,247951.0,148095.0,99856.0
CA,32,2022,0.33,34.0,0.21,28.0,44.0,242029.0,167411.0,74618.0,321645.0,212934.0,108711.0
CA,33,2022,0.23,0.0,0.18,21.0,30.0,132707.0,76588.0,56119.0,233275.0,137197.0,96078.0
CA,34,2022,0.37,48.0,0.21,26.0,35.0,121467.0,121467.0,0.0,189414.0,189414.0,0.0
CA,35,2022,0.3,20.0,0.24,36.0,39.0,130953.0,75121.0,55832.0,233555.0,136413.0,97142.0
CA,36,2022,0.31,25.0,0.2,26.0,33.0,278563.0,194299.0,84264.0,357987.0,246002.0,111985.0
CA,37,2022,0.44,75.0,0.3,49.0,55.0,131880.0,131880.0,0.0,204814.0,160364.0,0.0
CA,38,2022,0.34,34.0,0.14,9.0,29.0,174311.0,101260.0,73051.0,275928.0,165110.0,110818.0
CA,39,2022,0.39,55.0,0.2,24.0,34.0,131597.0,75896.0,55701.0,229660.0,130191.0,99469.0
CA,40,2022,0.42,70.0,0.15,12.0,33.0,284311.0,122722.0,161589.0,383635.0,171637.0,211998.0
CA,41,2022,0.2,0.0,0.06,0.0,14.0,236638.0,112769.0,123869.0,354445.0,171229.0,183216.0
CA,42,2022,0.13,0.0,0.14,10.0,1.0,145120.0,99217.0,45903.0,233563.0,159153.0,74410.0
CA,43,2022,0.31,25.0,0.2,24.0,31.0,123447.0,95462.0,27985.0,213232.0,160080.0,53152.0
CA,44,2022,0.31,26.0,0.16,16.0,24.0,138714.0,100160.0,38554.0,230852.0,164765.0,66087.0
CA,45,2022,0.36,44.0,0.08,0.0,8.0,217426.0,103466.0,113960.0,315875.0,158264.0,157611.0
CA,46,2022,0.49,95.0,0.16,16.0,35.0,126298.0,78041.0,48257.0,211292.0,134013.0,77279.0
CA,47,2022,0.36,44.0,0.22,31.0,37.0,265635.0,137374.0,128261.0,353275.0,181721.0,171554.0
CA,48,2022,0.41,65.0,0.2,26.0,46.0,257071.0,101900.0,155171.0,360290.0,146665.0,213625.0
CA,49,2022,0.35,41.0,0.27,44.0,46.0,291735.0,153541.0,138194.0,378347.0,197397.0,180950.0
CA,50,2022,0.25,0.0,0.12,5.0,9.0,268635.0,168816.0,99819.0,360695.0,231836.0,128859.0
CA,51,2022,0.51,100.0,0.12,5.0,27.0,233072.0,144186.0,88886.0,327584.0,198835.0,128749.0
CA,52,2022,0.37,47.0,0.25,38.0,45.0,151016.0,100686.0,50330.0,259718.0,172217.0,87501.0
CA,1,2026,0.37,49.0,0.19,23.0,34.0,,,,,,
CA,2,2026,0.32,30.0,0.2,25.0,21.0,,,,,,
CA,3,2026,0.4,61.0,0.24,34.0,44.0,,,,,,
CA,4,2026,0.36,43.0,0.16,15.0,33.0,,,,,,
CA,5,2026,0.23,0.0,0.25,38.0,49.0,,,,,,
CA,6,2026,0.28,12.0,0.12,4.0,12.0,,,,,,
CA,7,2026,0.39,58.0,0.16,15.0,21.0,,,,,,
CA,8,2026,0.34,38.0,0.22,30.0,38.0,,,,,,
CA,9,2026,0.24,0.0,0.09,0.0,11.0,,,,,,
CA,10,2026,0.4,58.0,0.24,36.0,55.0,,,,,,
CA,11,2026,0.1,0.0,0.26,41.0,7.0,,,,,,
CA,12,2026,0.49,95.0,0.49,97.0,89.0,,,,,,
CA,13,2026,0.42,67.0,0.21,26.0,41.0,,,,,,
CA,14,2026,0.33,32.0,0.38,70.0,68.0,,,,,,
CA,15,2026,0.26,4.0,0.36,65.0,59.0,,,,,,
CA,16,2026,0.33,32.0,0.19,21.0,27.0,,,,,,
CA,17,2026,0.49,97.0,0.25,38.0,49.0,,,,,,
CA,18,2026,0.27,9.0,0.2,24.0,40.0,,,,,,
CA,19,2026,0.15,0.0,0.1,0.0,1.0,,,,,,
CA,20,2026,0.42,67.0,0.1,0.0,24.0,,,,,,
CA,21,2026,0.25,1.0,0.16,15.0,31.0,,,,,,
CA,22,2026,0.28,11.0,0.13,7.0,20.0,,,,,,
CA,23,2026,0.42,67.0,0.25,39.0,52.0,,,,,,
CA,24,2026,0.25,0.0,0.15,12.0,16.0,,,,,,
CA,25,2026,0.33,33.0,0.16,16.0,31.0,,,,,,
CA,26,2026,0.42,67.0,0.16,15.0,33.0,,,,,,
CA,27,2026,0.33,31.0,0.15,12.0,17.0,,,,,,
CA,28,2026,0.39,55.0,0.18,21.0,38.0,,,,,,
CA,29,2026,0.44,74.0,0.29,47.0,52.0,,,,,,
CA,30,2026,0.38,51.0,0.16,15.0,26.0,,,,,,
CA,31,2026,0.3,21.0,0.14,11.0,33.0,,,,,,
CA,32,2026,0.37,49.0,0.16,15.0,30.0,,,,,,
CA,33,2026,0.23,0.0,0.12,4.0,16.0,,,,,,
CA,34,2026,0.37,48.0,0.21,26.0,35.0,,,,,,
CA,35,2026,0.38,53.0,0.14,11.0,23.0,,,,,,
CA,36,2026,0.31,25.0,0.2,26.0,33.0,,,,,,
CA,37,2026,0.44,75.0,0.3,49.0,55.0,,,,,,
CA,38,2026,0.19,0.0,0.08,0.0,3.0,,,,,,
CA,39,2026,0.36,46.0,0.14,11.0,24.0,,,,,,
CA,40,2026,0.39,55.0,0.19,23.0,42.0,,,,,,
CA,41,2026,0.31,23.0,0.1,1.0,8.0,,,,,,
CA,42,2026,0.19,0.0,0.15,12.0,1.0,,,,,,
CA,43,2026,0.31,25.0,0.2,24.0,31.0,,,,,,
CA,44,2026,0.25,1.0,0.14,9.0,20.0,,,,,,
CA,45,2026,0.39,54.0,0.1,0.0,15.0,,,,,,
CA,46,2026,0.43,72.0,0.12,5.0,21.0,,,,,,
CA,47,2026,0.45,82.0,0.24,34.0,45.0,,,,,,
CA,48,2026,0.4,59.0,0.1,0.0,23.0,,,,,,
CA,49,2026,0.34,38.0,0.19,23.0,34.0,,,,,,
CA,50,2026,0.27,8.0,0.11,2.0,14.0,,,,,,
CA,51,2026,0.3,19.0,0.16,16.0,30.0,,,,,,
CA,52,2026,0.19,0.0,0.24,35.0,47.0,,,,,,
CO,1,2022,0.16,0.0,0.09,0.0,2.0,282616.0,226929.0,49530.0,345735.0,264694.0,74598.0
CO,2,2022,0.59,100.0,0.31,53.0,71.0,348839.0,244107.0,97700.0,416908.0,284994.0,120633.0
CO,3,2022,0.33,32.0,0.3,50.0,50.0,327285.0,163293.0,163839.0,397553.0,182147.0,201951.0
CO,4,2022,0.46,82.0,0.29,48.0,58.0,354513.0,129619.0,216024.0,447807.0,188249.0,240213.0
CO,5,2022,0.53,100.0,0.54,100.0,98.0,277964.0,111978.0,155528.0,362085.0,147972.0,197924.0
CO,6,2022,0.22,0.0,0.09,0.0,17.0,280755.0,170140.0,105084.0,343721.0,202686.0,132174.0
CO,7,2022,0.46,85.0,0.25,37.0,49.0,363601.0,204984.0,150510.0,425966.0,235688.0,175273.0
CO,8,2022,0.44,75.0,0.2,26.0,41.0,236501.0,114377.0,112745.0,333616.0,160871.0,163320.0
CT,1,2022,0.43,72.0,0.16,16.0,29.0,243913.0,144873.0,91506.0,330482.0,197788.0,115065.0
CT,2,2022,0.57,100.0,0.39,74.0,79.0,285031.0,165946.0,114506.0,376047.0,218162.0,157878.0
CT,3,2022,0.34,34.0,0.24,35.0,43.0,242651.0,137924.0,98704.0,328923.0,193684.0,130095.0
CT,4,2022,0.33,31.0,0.33,57.0,47.0,236084.0,140262.0,93329.0,328857.0,200791.0,122793.0
CT,5,2022,0.5,100.0,0.24,34.0,46.0,253672.0,123818.0,123342.0,337605.0,171337.0,157258.0
DE,AL,2022,0.37,46.0,0.49,99.0,75.0,321649.0,178416.0,138201.0,497436.0,287830.0,209606.0
