State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,48,2026,0.4,59,0.1,0,23,,,,,,,580265,274728,208488,30504,54558,23016,5084,760066,325779,304909,44321,74155,31929,7238,341175,179202,154412,328054,165384,154132
CA,49,2026,0.34,38,0.19,23,34,,,,,,,591574,356610,116236,19096,88280,13692,5173,760067,434796,164145,26638,121957,18805,7387,406458,229526,167891,388330,211925,164898
CA,50,2026,0.27,8,0.11,2,14,,,,,,,627559,360378,104836,25286,123448,13949,5200,760066,417088,140896,32977,154045,18609,6928,404074,239765,154464,371751,214074,146224
CA,51,2026,0.3,19,0.16,16,30,,,,,,,608756,328618,148586,50274,70206,18237,6371,760067,385587,205434,68684,88812,24538,8772,388146,233972,145350,355638,205084,140213
CA,52,2026,0.19,0,0.24,35,47,,,,,,,580170,101922,333445,50356,95145,19792,5903,760066,117198,459616,68467,122027,29206,8184,306819,201155,99185,272681,156736,108793
CO,1,2022,0.16,0,0.09,0,2,282616,226929,49530,345735,264694,74598,586410,344786,143369,56656,30722,19566,2094,721714,392965,200616,77809,39732,25596,2965,397329,315919,72380,366354,280662,75479
CO,2,2022,0.59,100,0.31,53,71,348839,244107,97700,416908,284994,120633,585162,460289,71618,9482,27833,13527,1473,721720,549122,102698,13401,36784,18133,2015,446101,306343,128381,431937,295692,123973
CO,3,2022,0.33,32,0.3,50,50,327285,163293,163839,397553,182147,201951,568559,398631,129506,8454,8141,27593,1465,721730,481577,185799,13113,11622,37956,2216,412129,184177,218192,406766,178501,218065
CO,4,2022,0.46,82,0.29,48,58,354513,129619,216024,447807,188249,240213,543496,426412,64267,13378,24379,14500,1569,721794,546832,98457,20558,36567,20619,2458,442213,174566,256598,461578,182901,267114
CO,5,2022,0.53,100,0.54,100,98,277964,111978,155528,362085,147972,197924,551904,381336,85324,42273,27175,19232,4209,721714,473462,129138,63028,39114,27477,6690,373442,160890,198634,375473,165522,199615
CO,6,2022,0.22,0,0.09,0,17,280755,170140,105084,343721,202686,132174,553634,331034,107508,63003,40606,16756,2651,721681,402940,159402,91318,56338,23163,3890,383801,232523,141218,360369,210533,139305
CO,7,2022,0.46,85,0.25,37,49,363601,204984,150510,425966,235688,175273,584413,452432,77677,11945,23725,18627,1353,721697,540488,109182,16964,32417,24720,2020,459883,256137,190958,445768,249924,183164
CO,8,2022,0.44,75,0.2,26,41,236501,114377,112745,333616,160871,163320,535998,300744,184927,13910,23257,21423,1536,721664,373277,278098,21988,33210,30123,2460,342082,173797,158246,344500,164426,170726
CT,1,2022,0.43,72,0.16,16,29,243913,144873,91506,330482,197788,115065,575609,350479,89239,97385,35899,8694,837,721189,411361,128216,133181,49243,11724,1192,359968,227813,126734,"343,851","208,405","129,726"
CT,2,2022,0.57,100,0.39,74,79,285031,165946,114506,376047,218162,157878,585785,471982,45353,30179,25661,12088,1084,721188,562700,67036,42913,33870,16555,1623,391663,214323,169390,"388,477","205,994","175,984"
CT,3,2022,0.34,34,0.24,35,43,242651,137924,98704,328923,193684,130095,583771,377621,83523,87230,31046,8569,793,721189,437845,121255,119756,40442,11549,1084,359611,212970,142041,"342,110","191,831","143,737"
CT,4,2022,0.33,31,0.33,57,47,236084,140262,93329,328857,200791,122793,555195,330507,110251,74375,34170,6812,728,721189,410531,155911,100488,48354,9497,954,355029,230421,119649,"338,387","206,080","127,034"
CT,5,2022,0.5,100,0.24,34,46,253672,123818,123342,337605,171337,157258,568867,383204,102329,50031,23948,8534,852,721189,456795,150875,71078,33784,11585,1118,357356,195183,156794,"345,604","179,743","160,437"
DE,AL,2022,0.37,46,0.49,99,75,321649,178416,138201,497436,287830,209606,783543,489226,67906,178357,37878,15627,1057,989948,579851,104290,244944,50969,21392,1547,504010,296268,200603,511697,289758,214351
FL,1,2022,0.51,100,0.46,89,86,290816,93467,197349,415088,140980,274108,605557,436951,40502,81991,25681,19277,2297,769221,533911,59438,116673,35309,25419,3524,423264,139203,275564,422612,130047,286312
FL,2,2022,0.42,68,0.47,91,80,301389,121153,180236,402280,154323,247957,619356,405585,39777,143006,17234,14504,1142,769221,486775,54315,188670,23108,18717,1746,411700,180593,225707,413134,166349,241011
FL,3,2022,0.6,100,0.51,100,95,284893,103382,178101,391457,150283,241174,624295,422810,66407,99159,24257,12159,994,769221,500368,89389,135375,30817,15704,1358,393522,166674,222024,400758,155705,239803
FL,4,2022,0.41,64,0.33,57,55,274103,108402,165696,388349,165912,222364,590934,326940,46192,187108,21169,12759,1609,769221,400933,67385,262951,28670,16913,2425,400821,184068,210863,398747,173074,220114
FL,5,2022,0.58,100,0.54,100,91,1,0,1,424064,156570,267471,606741,409497,65881,77684,42703,11078,1659,769221,497450,92795,107690,59075,14862,2346,427864,176973,244305,439074,169106,262791
FL,6,2022,0.72,100,0.49,98,95,300755,0,226548,427474,143050,284414,634516,474364,62028,71174,13068,13076,1020,769221,548571,88354,99968,16943,16642,1396,427616,161022,262093,442572,152600,285318
FL,7,2022,0.45,81,0.41,77,71,304055,126079,177966,413854,179917,233937,616306,398072,116922,64914,29100,12048,1210,769221,472857,159630,90635,39599,16007,1707,433846,202046,226041,428617,184389,237638
FL,8,2022,0.35,38,0.47,91,72,342208,120080,222128,450448,170096,280352,633719,474699,63693,61355,20137,12774,1350,769221,550406,89241,87279,26948,16487,1912,460866,186757,267849,463982,177212,280407
FL,9,2022,0.49,96,0.48,95,81,202368,108541,93827,324273,178785,138076,593636,191983,297032,77314,30863,11244,1854,769221,231009,398290,106793,40772,14646,2513,341443,198369,138987,333373,170044,158369
FL,10,2022,0.38,50,0.36,66,62,199910,117955,78844,290915,181455,109460,610303,235180,174711,158531,37190,10652,1743,769221,272949,229989,217311,46845,13625,2304,336334,219026,112458,302699,182937,114482
FL,11,2022,0.52,100,0.36,65,66,326609,115647,205995,446003,176726,269277,618709,391486,105760,78945,28509,10928,1177,769221,456769,148527,109029,38409,14185,1656,427100,188273,234642,458409,189140,263392
FL,12,2022,0.43,70,0.38,70,63,321995,95390,226601,431436,124949,306487,626932,490923,73465,33192,15710,13365,974,769221,578906,104305,49184,21492,17554,1484,429192,150537,273543,444744,143215,296459
FL,13,2022,0.55,100,0.6,100,100,341546,153876,181487,411593,185930,225636,650487,502137,62165,46089,26682,11749,1224,769221,569083,85330,65273,34687,14862,1718,452147,207958,238386,420068,182362,231968
FL,14,2022,0.53,100,0.49,97,82,263164,149737,113427,350185,199423,145643,620281,306560,161068,118641,31047,10096,1145,769221,356844,208836,162110,40939,12861,1650,393872,231602,156415,359251,190432,163008
FL,15,2022,0.53,100,0.57,100,97,248054,102835,145219,347695,152361,195334,599800,329426,136420,92389,36096,12350,1230,769221,392970,193574,130484,48862,16345,1771,368731,176008,187576,357804,155660,195534
FL,16,2022,0.43,71,0.45,87,66,305358,115575,189762,416141,168625,247516,607353,391827,113409,72738,21880,11255,1112,769221,460213,166150,106142,30034,15045,1578,410103,184318,220727,426337,177608,243281
FL,17,2022,0.27,8,0.39,72,59,348506,123798,222483,455921,164566,291347,654821,517830,75570,36414,13046,9842,711,769221,581035,105922,51707,17146,12547,1005,450951,187437,259241,468654,175936,287668
FL,18,2022,0.45,81,0.44,84,71,224234,0,167429,344807,119637,225170,603562,360926,142922,79749,12080,12835,985,769221,425396,207594,112730,16114,17122,1370,350692,133382,213267,357188,124298,229002
FL,19,2022,0.34,35,0.39,72,59,313274,100226,213035,415746,140038,275708,650465,481820,105527,39481,14409,8269,761,769221,536453,146650,57118,18828,10884,1031,433455,169562,260650,430375,150318,275293
FL,20,2022,0.5,100,0.28,45,55,188366,136215,52151,1,1,0,595408,140153,136811,298383,20078,7063,1234,769221,158637,181082,407543,25320,9240,1525,333523,252578,78285,300589,207879,89175
FL,21,2022,0.5,100,0.5,100,79,328505,119891,208614,448766,171312,277435,629736,428764,95351,78571,17612,9782,1026,769221,491801,134691,109268,23461,13057,1389,443581,199036,240822,457836,188590,264118
FL,22,2022,0.45,82,0.42,81,66,272204,150010,122194,366856,201608,165248,625981,346268,154325,99406,20956,9491,961,769220,389651,209738,137952,27606,13091,1253,393853,229969,160733,377695,197055,176083
FL,23,2022,0.51,100,0.29,49,57,279049,143951,130681,374317,196311,178006,632647,369529,129741,83294,28005,6722,951,769221,424407,168630,113634,36743,8610,1300,413517,232423,177920,388824,195655,188273
FL,24,2022,0.5,98,0.49,97,86,185891,133442,52449,285588,194874,90692,611792,111522,235273,258005,13572,5601,792,769221,135526,288794,338202,16639,7147,948,330354,244809,83100,296849,191109,102192
FL,25,2022,0.4,58,0.38,69,68,234352,129113,105239,343191,186942,156208,607264,208608,256630,106416,36550,7642,1079,769221,250270,331599,142336,48563,9998,1404,385295,229393,152810,353908,183992,165194
FL,26,2022,0.27,8,0.32,54,50,202108,58868,143240,306271,89072,217199,623498,122723,456512,43160,9479,5428,468,769221,149228,561193,56007,12322,7040,639,315213,128372,184655,316315,101603,211879
FL,27,2022,0.71,100,0.73,100,100,237442,101404,136038,329867,130708,199159,636002,107346,471763,44946,16646,5443,583,769221,132078,566370,55568,20431,6802,720,359796,177908,179182,339254,142906,192461
FL,28,2022,0.2,0,0.23,33,23,211150,76665,134457,325337,115280,210057,609131,92771,446828,62852,13602,6988,582,769221,116007,559429,86320,17323,9073,782,342218,158749,180886,335798,123817,208901
FL,1,2026,0.51,100,0.46,89,86,,,,,,,605557,436951,40502,81991,25681,19277,2297,769221,533911,59438,116673,35309,25419,3524,423264,139203,275564,422612,130047,286312
FL,2,2026,0.42,68,0.47,91,80,,,,,,,619356,405585,39777,143006,17234,14504,1142,769221,486775,54315,188670,23108,18717,1746,411700,180593,225707,413134,166349,241011
FL,3,2026,0.6,100,0.51,100,95,,,,,,,624295,422810,66407,99159,24257,12159,994,769221,500368,89389,135375,30817,15704,1358,393522,166674,222024,400758,155705,239803
FL,4,2026,0.41,64,0.33,57,55,,,,,,,590934,326940,46192,187108,21169,12759,1609,769221,400933,67385,262951,28670,16913,2425,400821,184068,210863,398747,173074,220114
FL,5,2026,0.58,100,0.54,100,91,,,,,,,606741,409497,65881,77684,42703,11078,1659,769221,497450,92795,107690,59075,14862,2346,427864,176973,244305,439074,169106,262791
FL,6,2026,0.72,100,0.49,98,95,,,,,,,634516,474364,62028,71174,13068,13076,1020,769221,548571,88354,99968,16943,16642,1396,427616,161022,262093,442572,152600,285318
FL,7,2026,0.45,81,0.41,77,71,,,,,,,616306,398072,116922,64914,29100,12048,1210,769221,472857,159630,90635,39599,16007,1707,433846,202046,226041,428617,184389,237638
FL,8,2026,0.44,78,0.45,86,66,,,,,,,627948,430100,89424,68316,28576,13039,1577,769220,503429,121318,94859,37639,16910,2165,434539,190788,237424,432353,177979,247784
FL,9,2026,0.49,98,0.37,67,62,,,,,,,606265,298048,220605,64670,21337,11181,1278,769221,349169,301573,90743,28530,14662,1835,373055,171889,197172,375543,152205,218724
FL,10,2026,0.44,77,0.36,65,65,,,,,,,605765,217040,184224,168631,31986,10879,1717,769221,251279,244082,232426,40282,13913,2297,335396,220525,110247,299915,183316,111659
FL,11,2026,0.39,57,0.33,57,58,,,,,,,622027,384561,123284,66937,32919,10602,1408,769221,447500,168639,91751,44077,13648,1936,423819,189517,230117,450673,187138,257579
FL,12,2026,0.39,55,0.4,75,63,,,,,,,611856,360307,151776,65458,28518,11613,1118,769221,429649,203894,92266,38977,15264,1609,398692,185004,208306,384441,159992,218925
FL,13,2026,0.5,100,0.56,100,94,,,,,,,643737,494870,66182,41381,28007,11992,1154,769221,567259,91148,59474,36497,15175,1646,438499,199274,233340,409293,174633,228934
FL,14,2026,0.5,100,0.44,84,77,,,,,,,595835,328718,155046,79813,27812,12361,1345,769221,396612,218043,114827,37890,16278,1896,395901,189458,200699,389451,171478,212233
FL,15,2026,0.32,28,0.26,39,37,,,,,,,619782,396132,92649,93253,29211,11997,1120,769221,463357,128095,130612,39170,15842,1680,394126,173755,215554,400234,157393,236555
FL,16,2026,0.37,48,0.37,67,63,,,,,,,635485,449118,82021,76140,17148,10299,915,769221,511146,119152,104272,22520,13295,1299,427170,199416,222824,433163,184339,243417
FL,17,2026,0.25,2,0.32,54,45,,,,,,,655953,512425,72168,45497,13689,9976,726,769221,570932,102054,64658,17911,12830,1014,443876,189104,250655,453507,174415,274186
FL,18,2026,0.61,100,0.41,78,82,,,,,,,599646,337325,149406,91785,15301,12869,1149,769221,399988,213188,131391,20396,17107,1559,365753,162062,199004,372105,152345,215216
FL,19,2026,0.45,80,0.39,71,67,,,,,,,645329,468522,122093,32734,13636,8023,729,769221,526231,168259,47721,17910,10458,1005,427434,165037,259154,424197,145965,273568
FL,20,2026,0.49,94,0.42,79,73,,,,,,,613033,184626,142604,257938,22585,6963,1191,769221,205964,182345,349565,28290,8786,1511,359683,265212,91710,325400,221083,100489
FL,21,2026,0.49,98,0.51,100,80,,,,,,,627454,423674,94549,82252,17796,9654,1042,769221,486490,134189,115167,23754,12877,1401,441689,199523,238441,451872,186840,259933
FL,22,2026,0.45,81,0.4,74,69,,,,,,,595366,291480,184519,80805,29309,7735,948,769221,350497,254822,113224,40342,10507,1290,388260,198114,186929,388170,171280,211914
FL,23,2026,0.51,100,0.48,94,86,,,,,,,620743,295326,160750,143614,18423,10165,1046,769221,326237,219030,199453,23725,14114,1330,360417,226632,130749,339960,191314,144504
FL,24,2026,0.41,65,0.32,56,61,,,,,,,605907,70260,247952,289130,12951,6725,894,769221,83808,309212,380203,16125,8601,1084,316184,246096,67594,278540,191452,83867
FL,25,2026,0.18,0,0.17,17,28,,,,,,,648772,382680,179993,48108,20789,6342,814,769221,440052,220469,62078,26106,7982,1085,400621,209005,188734,379038,169978,204494
FL,26,2026,0.5,100,0.53,100,95,,,,,,,615491,77152,457140,65611,23908,4673,606,769221,101954,560623,85412,31589,6097,808,345108,169398,173413,327045,131900,191796
FL,27,2026,0.67,100,0.69,100,100,,,,,,,636033,106773,472417,44889,16686,5465,581,769221,131486,566995,55487,20496,6829,717,358962,177712,178550,338423,142685,191851
FL,28,2026,0.2,0,0.23,34,23,,,,,,,609100,93344,446174,62909,13562,6966,584,769221,116599,558804,86401,17258,9046,785,343052,158945,181518,336629,124038,209511
GA,1,2022,0.5,100,0.29,49,57,263965,107837,156128,,,,589266,355947,39938,166025,17615,11791,1718,765137,440636,59328,230783,23547,15972,2682,338540,144348,189659,363903,152157,209766
GA,2,2022,0.5,99,0.27,42,56,241340,132675,108665,,,,587555,251047,30074,289612,11125,9075,1286,765137,305611,45499,393195,15236,12189,1946,317651,173868,140913,316657,169767,145620
GA,3,2022,0.47,89,0.28,45,57,310581,97057,213524,,,,586319,391849,31274,136708,14933,12255,694,765136,492494,48285,188947,21220,16477,1082,385087,132203,248167,418466,145846,270151
GA,4,2022,0.3,21,0.25,38,45,275634,216332,59302,,,,589470,166544,59670,321379,39718,10031,793,765135,197536,88947,423763,53781,13509,1106,356387,279069,73410,353375,273996,76083
GA,5,2022,0.6,100,0.33,58,65,295456,243687,51769,,,,621515,235652,41432,308271,33476,8361,866,765137,273819,56496,392822,39932,10732,1096,370083,305942,59744,375826,309055,63016
GA,6,2022,0.47,86,0.2,25,40,332498,125612,206886,,,,574797,382971,52353,56969,70556,10188,731,765136,487400,78299,78871,105113,14224,1073,416668,174316,235820,436346,179874,251308
GA,7,2022,0.42,67,0.38,71,65,235039,143063,91962,,,,566934,185838,120604,169071,89868,11762,909,765137,225905,181851,239717,118444,16584,1355,326190,203134,118938,327199,199461,123465
GA,8,2022,0.37,46,0.21,28,42,260586,81886,178700,,,,585857,354572,35732,175967,11877,9554,841,765136,443123,54850,241628,16478,12877,1268,330378,117855,209131,345695,119189,225077
GA,9,2022,0.33,33,0.24,36,40,294138,81318,212820,,,,592520,404611,76361,61747,38220,13976,649,765137,495078,117758,87130,51420,18937,1007,370911,112811,253334,406707,121403,282423
GA,10,2022,0.51,100,0.28,46,59,307630,109107,198523,,,,588874,389823,38336,133097,16567,11556,731,765135,486487,58645,184137,22625,15352,1122,377811,142239,230726,420449,160481,257353
GA,11,2022,0.48,93,0.21,26,39,303657,113571,190086,,,,595201,380895,66802,106811,26907,13697,783,765137,469264,99794,143404,36270,18608,1080,383028,159077,217643,412001,169450,238967
GA,12,2022,0.56,100,0.28,45,63,265195,107148,158047,,,,588119,321394,28628,215958,15023,9842,1312,765136,398843,43065,294961,20401,13325,2033,340904,151132,185716,348841,148916,198212
GA,13,2022,0.34,34,0.16,14,21,264616,216388,48228,,,,574789,108160,60467,383663,22023,9829,768,765137,125106,93554,520094,28728,13404,1126,343834,273969,66453,351493,282250,66904
GA,14,2022,0.45,79,0.37,68,66,258351,88189,170162,,,,579058,413030,61247,82708,8676,15968,647,765135,520854,97086,118694,12449,21851,1044,341010,104544,232183,373108,116172,254772
GA,1,2024,0.5,100,0.29,49,57,,,,355857,135281,220576,589266,355947,39938,166025,17615,11791,1718,765137,440636,59328,230783,23547,15972,2682,338540,144348,189659,363903,152157,209766
GA,2,2024,0.5,99,0.27,42,56,,,,312501,176028,136473,587555,251047,30074,289612,11125,9075,1286,765137,305611,45499,393195,15236,12189,1946,317651,173868,140913,316657,169767,145620
GA,3,2024,0.47,89,0.28,45,57,,,,411785,138749,273036,586319,391849,31274,136708,14933,12255,694,765136,492494,48285,188947,21220,16477,1082,385087,132203,248167,418466,145846,270151
GA,4,2024,0.45,79,0.2,25,35,,,,303361,229290,74071,582946,126798,99121,294887,62023,11085,846,765137,150803,147267,387919,80931,15332,1192,317434,248553,65339,309227,234107,71829
GA,5,2024,0.45,80,0.26,40,51,,,,343691,294470,49221,613735,206531,52720,313396,38832,9366,827,765137,237353,75635,403564,47347,12196,1048,347624,298153,45247,352020,300220,48212
GA,6,2024,0.39,57,0.26,39,44,,,,370936,277027,93909,593690,194739,63188,307240,25562,9671,779,765136,227858,94388,409519,32152,12827,1129,367502,272522,90694,375844,280228,92564
GA,7,2024,0.37,47,0.24,34,47,,,,425442,149535,275907,579339,386820,52419,51721,76658,10367,730,765137,487523,78323,71376,112943,14371,1045,407587,161754,239986,432225,166107,261295
GA,8,2024,0.37,46,0.21,28,42,,,,335981,104434,231547,585857,354572,35732,175967,11877,9554,841,765136,443123,54850,241628,16478,12877,1268,330378,117855,209131,345695,119189,225077
GA,9,2024,0.42,67,0.17,18,31,,,,392816,121754,271062,582752,375905,79950,73716,42974,13488,690,765135,466010,123476,105451,58278,18450,1056,365652,121435,239400,401625,130883,267731
GA,10,2024,0.52,100,0.23,33,49,,,,406716,150274,256442,590322,385356,38081,139872,16437,11395,724,765137,478059,58198,193877,22496,15079,1137,376507,145845,225968,413992,162653,248788
GA,11,2024,0.53,100,0.28,46,56,,,,400913,131064,269849,589100,408681,61477,75588,27956,13911,728,765135,510228,92947,103505,39460,18779,1026,390391,149122,234735,420715,159375,257408
GA,12,2024,0.56,100,0.28,45,63,,,,341266,135417,205849,588119,321394,28628,215958,15023,9842,1312,765136,398843,43065,294961,20401,13325,2033,340904,151132,185716,348841,148916,198212
GA,13,2024,0.29,18,0.13,8,14,,,,357632,256902,100730,572137,159219,72417,294376,44296,10588,896,765136,188099,110825,407986,59021,14673,1321,356715,248790,104145,364772,257798,103643
GA,14,2024,0.43,72,0.29,48,50,,,,378205,134759,243446,579137,423475,57899,72920,11273,15497,657,765136,535516,91371,105435,16134,21494,1055,356510,108927,242737,386084,120771,262821
HI,1,2022,0.4,59,0.44,84,66,202378,143546,51217,251432,164237,64373,585659,94213,38697,18240,398963,10962,104993,726395,107302,56401,26105,495204,16141,153851,279671,178661,96350,248840,153039,91498
HI,2,2022,0,0,0.06,0,1,216985,128407,72874,270804,166251,75471,570246,181411,54410,13744,247592,17167,159458,728876,207063,82522,20678,328939,25387,240251,294798,187469,100514,267861,160005,102163
IA,1,2022,0.28,11,0.27,43,38,309736,142173,162947,414078,206156,206955,618402,530702,28937,29258,16682,9848,807,797584,665052,44931,48473,22864,13767,1222,428058,203400,215742,424688,190502,226309
IA,2,2022,0.45,81,0.39,73,69,321507,145940,172181,408802,169740,233340,617226,545476,18656,29445,11217,9006,1906,797589,685368,29975,49037,16298,13119,3145,434421,203246,222312,421282,186017,227941
IA,3,2022,0.36,44,0.32,56,57,315039,154117,156262,412905,197962,213746,600958,493314,39637,30959,25010,9498,1151,797551,628821,64482,51400,37396,13449,1955,421197,205591,207043,424026,199043,217645
IA,4,2022,0.44,76,0.26,41,47,284134,84230,186467,373824,122175,250522,613517,524277,46874,14474,15041,10365,2764,797645,658960,76598,24078,20303,15623,3751,407195,146824,252575,393510,131716,255124
ID,1,2022,0.29,14,0.2,24,36,312442,82261,222901,489086,118656,331049,692128,572254,68233,6356,14311,24703,2781,919553,735930,108783,11407,21566,35261,4623,447601,132143,302954,482392,126556,343893
ID,2,2022,0.51,100,0.31,53,59,271186,98736,172450,428514,126229,250119,684272,549212,83467,9691,18051,20822,2945,919553,714593,130624,16238,25947,30291,4670,419680,154878,251165,422665,148416,261353
IL,1,2022,0.26,6,0.13,8,11,237425,159142,78258,316507,208398,108064,589021,217813,46406,306380,15438,8185,528,753677,271776,69410,390300,19761,11292,736,369706,260608,103962,329810,213695,109427
IL,2,2022,0.41,65,0.29,48,47,209175,140414,68761,289843,195777,94004,580993,210713,77611,280964,7783,10704,615,753677,251234,115115,374697,10218,14600,840,334633,231875,98019,299486,196546,97680
IL,3,2022,0.15,0,0.08,0,1,177759,121764,55995,259908,174825,84987,588880,251848,257871,35538,43017,20324,1026,753677,294530,356863,49086,55607,27342,1369,297753,207606,84237,268964,171937,88946
IL,4,2022,0.33,31,0.11,4,16,133047,91036,37352,206396,139343,56323,563323,147658,356197,32793,26345,27272,660,753677,176438,500949,43251,34697,36994,907,242648,175347,62773,213559,134061,74126
IL,5,2022,0.12,0,0.07,0,1,274550,190999,79112,363965,251025,112931,618186,453104,65900,20617,72694,7407,730,753677,537619,88320,26813,94572,9935,956,402055,277279,117413,377272,253925,115297
IL,6,2022,0.38,51,0.16,15,27,276859,150496,126351,362849,196647,166116,593478,442873,70055,34837,38785,7954,548,753677,543039,102698,47441,52603,11028,733,396781,216291,173135,375294,190515,170076
IL,7,2022,0.23,0,0.12,4,7,167746,167650,0,267152,222408,44598,607675,198783,84153,261207,62079,8953,752,753677,222189,118529,340341,73832,12023,1009,321152,274990,41089,279610,227681,46425
IL,8,2022,0.24,0,0.11,2,15,207215,117880,89335,303073,172920,130153,586513,342671,121507,27923,88874,12304,759,753677,410205,179147,41348,117924,17357,1050,333617,189421,138008,311069,162605,141292
IL,9,2022,0.1,0,0.1,0,1,250530,179615,70915,338828,231722,107106,607511,374121,70826,58940,97378,9307,877,753677,446387,98038,76904,125905,12479,1154,380325,265636,108344,351559,234667,107823
IL,10,2022,0.25,0,0.25,36,37,242165,152566,89599,327621,196358,131025,575610,354504,122070,41054,50164,12712,979,753677,436320,180649,58457,70016,17967,1379,355626,220431,128452,333562,199021,126349
IL,11,2022,0.25,2,0.14,11,10,264241,149172,115069,359684,199825,159630,574787,382643,94482,37948,51448,10326,612,753677,474649,142376,54717,72264,14862,912,380397,215293,157092,365895,198881,157533
IL,12,2022,0.48,91,0.26,40,51,291171,72791,218379,367629,94875,272754,589350,518915,13972,32744,8335,12005,680,753677,654662,21152,46547,11612,16196,1069,383343,106247,270231,374175,102485,264356
IL,13,2022,0.11,0,0.1,1,1,250450,141788,108646,329500,191339,137917,595719,403862,25560,120909,32027,12223,768,753677,486087,37204,175650,38751,16186,1166,358871,195381,155133,336281,180960,146195
IL,14,2022,0.35,40,0.27,43,42,236600,128141,108451,332929,183446,149464,564317,353681,113236,57426,31975,12358,543,753677,443276,172070,83511,46311,17724,804,349032,191041,151038,338702,173956,156555
IL,15,2022,0.36,42,0.12,6,24,299403,86396,213007,310234,0,308825,592293,538096,14321,20045,6073,10541,594,753677,676214,21163,29684,8898,14224,928,395364,117022,270205,382709,111340,262935
IL,16,2022,0.33,32,0.09,0,15,297946,100325,197621,311108,0,310925,582046,507844,30726,15473,14673,10444,506,753677,639296,49584,25596,21798,14715,764,400455,152607,238749,392642,147464,235918
IL,17,2022,0.24,0,0.08,0,1,233123,121186,111931,312828,170261,142567,589767,424419,55419,83583,15101,11919,772,753676,508830,84143,127870,20719,16061,1066,331680,174840,149011,319035,163124,148146
IN,1,2022,0.46,85,0.58,100,96,213207,112656,100542,322723,172467,145056,580667,367001,83050,109975,10674,12242,537,753947,447626,124734,156823,14905,16961,810,340696,181830,153362,327083,161625,160330
IN,2,2022,0.63,100,0.52,100,94,194073,62891,125313,294618,101962,184848,571029,453103,52706,40851,11036,12294,619,753947,572604,85184,64160,15331,17181,980,311444,117691,187982,299606,107779,187184
IN,3,2022,0.49,95,0.58,100,95,201542,60577,131579,311539,97871,202653,563485,468328,30778,37126,15490,10439,620,753947,606817,50151,57946,24118,14614,926,328595,111653,209896,321169,107772,207943
IN,4,2022,0.43,73,0.43,84,71,197698,62834,134864,323595,100091,209794,577297,481532,34013,23347,24655,11043,3374,753947,613531,53712,37411,31463,15168,3753,345295,118416,219016,333989,115001,212994
IN,5,2022,0.49,95,0.53,100,91,240009,93434,146575,359204,136554,203293,574610,479447,21767,38139,22495,10346,557,753947,611605,34792,57591,33321,14027,913,369018,151395,210211,369170,150105,212150
IN,6,2022,0.41,64,0.41,78,67,193524,62838,130686,314909,99841,201357,570671,479310,24119,25458,28890,10908,707,753949,610472,39669,42050,45066,14715,1058,331732,109388,215299,325610,107010,212902
IN,7,2022,0.51,100,0.67,100,100,175180,117309,53631,272148,185987,78792,578117,291454,70431,192839,15824,11668,762,753949,341540,111802,272334,20214,15795,1131,303733,213497,84812,271247,189586,77134
IN,8,2022,0.42,66,0.22,30,40,216040,68109,141995,323633,95311,219941,585235,522022,14371,27167,7756,10760,878,753947,661160,23122,40583,10946,14313,1439,343954,112349,225278,332397,103783,223052
IN,9,2022,0.47,87,0.34,61,58,225276,75700,143166,345738,113400,222884,591468,523453,19694,20178,13399,12524,637,753948,655649,31025,31119,17285,16669,1005,356789,126279,224001,353491,121011,226651
KS,1,2022,0.32,28,0.33,58,61,238425,77092,161333,304458,93965,210493,565616,439359,73822,20746,14112,18188,1205,734470,547576,115120,30857,18884,25605,1860,324068,110565,206461,310550,103889,200988
KS,2,2022,0.44,77,0.15,12,26,233358,98852,134506,302761,115685,172847,554813,406652,59029,54674,12369,22956,1679,734470,512507,94762,80284,18776,33136,2670,321506,130814,183254,307903,120738,181316
KS,3,2022,0.4,61,0.47,93,70,301294,165527,128839,393333,209871,167570,556362,433217,47341,30004,30016,13934,823,734470,551145,73610,46248,43008,19559,1339,401920,205619,187733,397590,203405,187105
KS,4,2022,0.34,37,0.42,80,82,228740,83851,144889,305097,106632,198465,552525,404754,61394,42749,22437,22819,1261,734470,511347,99111,65886,31527,33005,2021,324809,123325,193958,311548,116821,189393
KY,1,2022,0.15,0,0.09,0,3,245858,61701,184157,338253,85524,252729,581614,499121,17549,45739,5749,11794,738,750973,629590,28616,67417,8302,15603,1223,351934,98067,248605,342821,88125,250232
KY,2,2022,0.49,96,0.22,31,49,237256,66769,170487,345855,93029,252826,573283,491040,19187,35852,12979,11930,1393,750972,627377,31381,54016,19945,15854,2202,351844,108585,237267,351430,100536,245734
