State,CD #,Year,Reock,Rating,Polsby-Popper,Rating.1,KIWYSI Score,CD 2022 Total Votes,CD 2022 D Votes,CD 2022 R Votes,CD 2024 Total Votes,CD 2024 D Votes,CD 2024 R Votes,Voting Age Total Population (VAP),White VAP,Hispanic VAP,Black VAP,Asian VAP,Native American VAP,Pacific VAP,Total Population,White Population,Hispanic Population,Black Population,Asian Population,Native American Population,Pacific Population,Pres 2020 Total Votes,Pres 2020 D Votes,Pres 2020 R Votes,Pres 2024 Total Votes,Pres 2024 D Votes,Pres 2024 R Votes
CA,3,2022,0.13,0,0.13,8,8,338199,156761,181438,422313,188067,234246,603885,436701,74828,14325,53685,21894,3899,760065,527693,107658,18422,76333,30117,5695,442392,211804,219696,433846,201872,218348
CA,4,2022,0.35,40,0.18,19,31,260907,176900,84007,342680,227730,114950,611312,338179,168374,24962,61291,24417,5141,760065,391914,238697,31307,78334,32399,7134,373476,250454,113896,351475,225098,115327
CA,5,2022,0.28,14,0.17,17,33,283030,109506,173524,368562,140919,227643,599484,377863,133798,18592,45747,26338,5449,760065,451671,193669,24900,63007,35287,7228,400862,171264,220708,380401,151656,219017
CA,6,2022,0.27,8,0.3,51,57,216383,121058,95325,287072,165408,121664,577524,295331,117424,64045,84712,22178,8749,760066,358160,174324,92636,117030,29297,12161,333278,192843,131441,301388,166456,124649
CA,7,2022,0.27,7,0.24,36,30,220651,150618,70033,295770,197429,98341,582846,204018,140253,72402,151752,20345,13839,760066,238259,202409,100217,203594,26863,18701,339414,228896,102731,309169,195089,103105
CA,8,2022,0.4,58,0.22,29,37,192135,145501,46634,273030,201962,71068,588571,158532,185553,104392,131671,21090,9185,760065,181978,267016,140076,165909,27868,12890,321349,244078,70549,284892,199908,75663
CA,9,2022,0.44,75,0.24,35,52,174400,95598,78802,251357,130183,121174,561822,183363,211242,50490,108990,21367,7080,760066,218118,315472,71610,150016,29881,9887,285425,157655,121663,258084,122864,127413
CA,10,2022,0.39,55,0.22,30,45,251380,198415,0,364544,242325,122219,585695,300385,97536,34008,143652,13368,5305,760066,362247,138593,48392,201432,18025,7544,409374,280965,119809,378934,247144,119032
CA,11,2022,0.1,0,0.26,41,7,263065,220848,42217,339111,274796,64315,664995,296850,87723,43691,227568,12865,4609,760067,328242,107106,52253,262605,14516,5709,393710,339716,46188,361181,295462,50870
CA,12,2022,0.49,95,0.49,96,88,239969,217110,22859,283025,283025,0,621080,218543,131521,111824,152734,19039,5745,760065,249406,179534,140008,186168,22904,7953,367980,328667,31678,318372,269134,33869
