ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,791871,453790,109570,91759,33959,116914,2236,597950,372186,68384,61502,22946,78222,1352,284651,103964,169458,320366,121871,190281
2,2,791871,478909,44111,38478,9256,231916,1962,609272,398595,26431,25892,6194,154864,1109,285375,75339,200814,321517,72000,243615
3,3,791871,476024,160404,54778,16917,94321,5410,594875,385075,100974,37103,12279,63107,3082,249978,69526,171362,279059,76638,196075
4,4,791870,506779,79628,83688,28547,105607,3321,605586,411298,50555,55508,20758,70078,2151,277041,91675,173857,312061,104031,200483
5,5,791870,491686,78218,113995,34935,85073,2097,603015,396700,49277,78904,25158,56921,1297,294570,111787,170823,327696,129350,189826
