ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776327,535770,90968,108188,24737,19877,1021,603907,432097,64365,76646,18020,14279,708,317679,89825,220702,387504,114481,265761,304155,87605,210068,256136,63491,186484,376557,112920,256662,357720,85911,265028
2,2,776316,260930,74305,412387,26015,13140,946,598204,217823,51406,305124,20319,9907,682,286241,186685,93274,355067,237958,111289,270740,177276,87940,208626,132005,72642,320161,207146,106785,305184,216491,88693
3,3,776287,506088,43292,189998,17466,21275,914,588557,400099,29021,132825,12454,14686,620,300712,79239,214845,352293,98140,248217,284512,75676,203345,225989,38991,180895,335590,89993,241083,320682,81157,239525
4,4,776302,530753,39630,169212,14693,22411,1664,593646,416483,27348,122168,10472,16438,1060,299678,71312,223409,357977,87747,264726,284905,66328,214032,76953,9859,66665,336551,78192,254317,306248,0,306248
5,5,776285,484005,38166,225122,15094,14265,814,597217,387349,26564,160995,11287,10573,552,296242,92901,197719,345629,111210,228783,281579,87299,189417,224005,33876,180129,323864,100557,218462,319815,83002,236813
6,6,776240,279156,36188,438212,13831,12160,741,589017,228259,24958,318011,10395,9022,538,295127,167519,121845,349592,206498,137000,278188,157756,115316,141415,40710,86886,314252,178062,131196,296069,184275,111794
