ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,717754,455278,27196,196827,14541,23350,1024,557535,367960,18014,142777,10292,17316,670,270155,104393,163191,327929,115566,208118,168199,21,140619,330255,106467,219701
2,2,717755,426142,31708,228648,17621,15742,1253,557677,345900,19933,167971,12736,11706,834,265137,97419,165661,320603,111275,205438,199006,58075,137440,311239,102146,205568
3,3,717754,473307,26849,187284,15589,15474,1133,564281,382226,17334,141011,11793,11895,729,254931,89794,162977,317463,102771,210791,190389,47851,135589,311175,91639,216113
4,4,717754,573666,53874,59655,6525,26440,822,556133,458324,31463,42819,4571,19581,506,263243,58855,202306,326949,60726,262334,195648,26691,164577,323582,52924,267544
5,5,717754,491054,47307,136782,20008,24446,1578,561187,397809,29646,101339,14172,18333,996,279030,105811,168839,346696,123036,216609,212407,62748,142513,353780,122895,224420
6,6,717754,491446,46872,145897,17669,15967,848,552286,393028,29711,104551,12615,11937,579,297026,108064,184816,356536,122033,228506,184369,433,154063,347862,117610,224175
7,7,717754,260458,30241,409643,10824,9611,821,568067,219297,20755,313904,8730,7346,576,285999,194554,89580,327106,214217,109374,193692,122721,67592,287197,178731,105095
