ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,797584,665052,44931,48473,22864,13767,1222,618402,530702,28937,29258,16682,9848,807,382321,178512,191297,428058,203400,215742,424688,190502,226309
2,2,797589,685368,29975,49037,16298,13119,3145,617226,545476,18656,29445,11217,9006,1906,394061,178432,202647,434421,203246,222312,421282,186017,227941
3,3,797551,628821,64482,51400,37396,13449,1955,600958,493314,39637,30959,25010,9498,1151,372640,175108,185603,421197,205591,207043,424026,199043,217645
4,4,797645,658960,76598,24078,20303,15623,3751,613517,524277,46874,14474,15041,10365,2764,371066,129698,229788,407195,146824,252575,393510,131716,255124
