ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,776268,520237,93429,115838,25141,25598,1063,601559,420268,65811,81105,18342,17914,732,305802,84878,213892,372802,109242,256622,244044,61467,177670,357326,106285,244505
2,2,776317,209995,67228,473236,24832,11832,904,600203,179129,47041,352018,19606,9069,665,289896,213639,70031,360636,272553,82116,204442,157996,46446,319190,233784,78951
3,3,776275,500016,41065,205820,16752,13683,921,586488,392996,27487,144434,11908,9868,629,298996,84941,207416,352153,106734,239328,224552,44813,174864,336139,96713,234794
4,4,776333,432275,35242,277767,12247,20484,1608,591095,343535,24043,199907,8679,15045,1026,296668,106472,185294,351691,130826,215522,0,0,0,323298,113536,205856
5,5,776277,449630,29500,272728,10140,15683,874,597389,360144,21569,196617,7734,11631,581,300216,100537,194395,350573,120688,224733,223553,54532,169021,323545,103851,215746
6,6,776287,484549,56085,197730,22724,15848,730,593814,386038,37711,141688,16678,11378,527,304101,97014,200766,360207,115991,237455,236533,124,205700,347477,112701,228653
