ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,752509,551532,29297,139921,7852,21046,1895,579039,438676,18103,97812,5576,16066,1079,253353,73762,172730,286792,80516,197832
2,2,752710,498838,46673,166319,18424,23460,1008,582706,402756,30008,118487,13270,17665,677,294794,119695,166735,333041,140254,183964
3,3,753219,509829,124073,31858,33269,45272,13592,566367,405651,78667,20163,23673,31822,7661,252852,87172,157289,300274,110479,180794
4,4,753086,503351,56804,157870,9013,25836,1379,584161,406689,35224,115416,6220,19359,876,265872,84470,175063,298962,92683,198057
