ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,705832,321344,288643,29771,29953,56141,2555,564033,278556,212166,20639,22125,40712,1748,321512,174841,133746,359119,201152,149216,280612,156461,124151,348082,194846,150029,342744,193198,149546
2,2,705846,207762,423032,22640,13380,58605,1961,534358,177682,299999,15151,9810,42357,1383,232053,121272,102644,264910,137454,121870,192589,96967,95622,267859,130520,135451,265292,138147,127145
3,3,705844,243846,299136,15998,12664,148869,1496,540598,207824,214599,10632,9287,105408,1073,267058,147264,111475,299936,163008,130808,230758,134202,96556,293752,153389,137901,288394,162329,126065
