ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,740319,478666,28356,211581,9993,11778,711,570086,381596,17747,154218,7178,8903,476,230992,80876,147524,333730,111535,217292,167385,45237,122148,324051,99871,219880,320279,96695,223584
2,2,740319,235188,16923,477741,5786,8335,546,571715,196358,11932,355293,4341,6097,352,243901,155585,86487,333313,208181,121247,180476,108272,72204,286655,171061,112641,286799,177279,109520
3,3,740320,438840,20969,253094,11518,16845,619,568068,350071,13512,184901,8337,11501,432,246767,94604,149752,344969,128372,212292,187102,54861,132239,323422,112896,207370,265214,654,264560
4,4,740321,486383,38972,181197,17634,16771,1359,567730,387426,25446,128668,12861,12580,954,204682,64870,137104,301747,91310,205933,174138,42832,127739,293879,82839,207853,290859,75724,215135
