ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,734470,547576,115120,30857,18884,25605,1860,565616,439359,73822,20746,14112,18188,1205,285878,95320,178278,324068,110565,206461,238764,77245,161519,310550,103889,200988
2,2,734470,512507,94762,80284,18776,33136,2670,554813,406652,59029,54674,12369,22956,1679,282703,114022,156093,321506,130814,183254,233016,98697,134319,307903,120738,181316
3,3,734470,551145,73610,46248,43008,19559,1339,556362,433217,47341,30004,30016,13934,823,349548,166489,166259,401920,205619,187733,301293,165526,128839,397590,203405,187105
4,4,734470,511347,99111,65886,31527,33005,2021,552525,404754,61394,42749,22437,22819,1261,281033,103257,163662,324809,123325,193958,228740,83851,144889,311548,116821,189393
