ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,775836,307272,279804,101089,79837,23651,12572,599975,263524,193093,70437,62414,17822,8557,251386,132296,106354,324302,172630,144981,224348,115700,103114,335236,168436,160856,322875,167874,143638
2,2,776235,487839,179638,24723,48322,38061,8341,611030,408010,120841,17182,36406,27546,5473,325836,131935,175156,401976,173065,217352,310509,117373,185476,420931,176235,234860,399429,2,219816
3,3,776062,340837,164168,98106,164020,18584,18201,615841,290359,115953,69428,128321,14034,12016,269796,139565,117836,363055,190170,166060,252170,131086,121084,385136,187977,190808,372355,191292,181063
4,4,776481,289370,267296,150071,61357,25465,13419,586480,243758,179509,105783,46185,18677,8775,242704,127662,102078,316043,167621,141497,222476,116615,105861,343079,172380,164399,332086,174882,147992
