ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_18-24_COMP_Total,E_18-24_COMP_Dem,E_18-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769364,318770,34678,373011,31648,14081,887,609962,275838,24149,274562,25535,10938,665,345270,266749,69832,356554,280382,70459,319684,248434,64662,316509,246418,64299,309316,234639,57323
2,2,769364,648395,22242,31657,44611,16409,833,603006,518559,14600,21318,31414,12109,540,405453,172451,222281,429923,187579,235264,408787,178008,222837,420917,182976,230848,417252,172824,231732
3,3,769364,634019,28760,56762,25692,19241,1212,594774,501879,18809,37578,18178,14093,800,368074,146075,210327,397528,158177,231359,385828,153188,224254,406941,159749,240977,392324,148981,231531
4,4,769364,613869,42681,66422,18319,25444,2411,599570,489976,28651,45836,13340,18658,1447,360734,141746,208305,392866,155951,229889,376619,148262,220740,395017,153232,236509,387279,143298,233433
5,5,769364,515400,65069,150123,13549,25018,3887,588634,411612,41398,105776,9492,18585,2536,321200,137338,173277,343089,143602,192560,321515,132174,182081,332891,133438,194505,324209,128709,184224
6,6,769364,628405,44018,52169,19406,21880,3556,588867,493931,28485,33395,13386,16041,2084,343644,126291,206371,374135,137236,230188,358394,130695,220328,377140,135780,236206,370435,122859,238282
7,7,769365,636951,47001,25660,16582,37210,4168,594947,505834,29527,15694,11381,27157,2661,337712,94228,232969,364372,103422,254241,356981,101210,248648,376524,105653,266226,367816,96647,263186
8,8,769364,668098,18619,42819,9529,24152,916,595852,526013,11554,28048,6779,18170,593,340782,87594,244127,366690,86665,274776,350122,82605,261483,369388,83353,282416,356232,77714,271339
