ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,769364,311031,34901,376003,36230,13971,904,609403,269712,24298,276602,28909,10854,674,343729,264910,70230,355022,278286,71041,314564,244276,64565,307265,233312,56453
2,2,769364,647653,24634,32977,43626,15209,819,598975,515223,15934,21993,30458,10994,542,412311,180003,221661,438874,198772,232826,434594,196301,230858,428598,182133,233593
3,3,769364,650510,25268,47096,20924,20139,1269,601259,518582,16694,31568,14850,14859,823,372177,134931,225831,398364,143368,247447,404749,145345,253502,392727,138502,240923
4,4,769364,641000,37040,45589,13948,26597,2962,589494,502063,23774,29530,9692,19517,1844,342480,102512,228736,373429,109083,257010,375996,106422,264765,365116,96466,259393
5,5,769364,445232,86205,190606,25865,25187,4174,597387,369638,56750,134105,18878,18759,2607,326442,198611,117202,350530,217868,125645,335944,204302,125669,331948,199915,120957
6,6,769364,663432,29400,37873,12632,20970,2658,588295,516577,18642,24667,8558,15441,1582,347236,109683,226733,377876,115550,255750,383568,114947,263985,375161,100982,265206
7,7,769365,636951,47001,25660,16582,37210,4168,594947,505834,29527,15694,11381,27157,2661,337712,94228,232969,364372,103422,254241,376524,105653,266226,367816,96647,263186
8,8,769364,668098,18619,42819,9529,24152,916,595852,526013,11554,28048,6779,18170,593,340782,87594,244127,366690,86665,274776,369388,83353,282416,356232,77714,271339
