ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,736715,546627,93218,64057,20156,15646,943,575451,450243,58924,40818,13998,11123,639,337615,162980,166664,394810,190048,197943,300868,135826,162795,404230,189560,207737,393494,172402,212516
2,2,736715,584393,50590,42981,44835,12604,996,584519,479314,33115,27220,33675,9112,694,390831,272306,110189,444235,310862,125920,378536,268739,102108,469607,324784,136734,457256,320317,136356
3,3,736716,656744,24625,15494,21362,14639,967,580338,527806,15418,9555,13943,10156,629,342961,167657,166418,396394,185086,203591,317922,152977,164945,421741,191708,222857,413181,200808,212064
4,4,736714,302220,131084,257757,42833,17100,1089,558133,262604,85665,175603,28994,11897,807,316232,232873,76445,344275,260129,78277,255012,191955,57893,345704,258176,80483,334282,249938,74921
5,5,736715,632824,43682,18972,27029,10984,811,578845,511486,27348,11254,17935,7616,523,403985,140474,255316,465929,176027,282440,378514,134577,243937,481537,183685,290063,466619,165626,300485
6,6,736714,634407,39816,23261,23307,13245,829,582819,515953,24727,14826,15052,9432,551,356969,146490,201995,416617,171945,237091,252008,4,251664,427835,175480,245816,411412,159069,251925
7,7,736715,659572,18899,10351,15613,27711,1012,580264,530575,11269,5786,9652,18781,604,353661,144324,201563,423158,165853,250176,338268,128877,209391,441810,167604,266844,430384,156524,273553
8,8,736714,617231,45376,19870,21210,32643,823,571931,496245,27603,11251,13391,21634,549,348946,145222,195983,412623,170916,234746,310196,3295,225948,430454,177232,247092,418978,178666,240040
