ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,721189,411361,128216,133181,49243,11724,1192,575609,350479,89239,97385,35899,8694,837,303714,184571,111239,359968,227813,126734
2,2,721188,562700,67036,42913,33870,16555,1623,585785,471982,45353,30179,25661,12088,1084,331464,173759,147672,391663,214323,169390
3,3,721189,437845,121255,119756,40442,11549,1084,583771,377621,83523,87230,31046,8569,793,303936,176653,121436,359611,212970,142041
4,4,721189,410531,155911,100488,48354,9497,954,555195,330507,110251,74375,34170,6812,728,295474,179296,111367,355029,230421,119649
5,5,721189,456795,150875,71078,33784,11585,1118,568867,383204,102329,50031,23948,8534,852,298786,155803,136206,357356,195183,156794
