ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,717754,519198,33476,126801,14424,23200,1247,557336,416674,21367,90582,10005,17360,838,262594,69874,190357,326343,79020,243221,258482,56805,197836,0,0,0,333911,73358,256976,329716,71340,258073
2,2,717754,298335,26535,364985,16843,14686,1172,558661,247928,17215,272023,12529,10700,748,267954,155103,110867,313181,174134,135348,245773,131669,111061,0,0,0,290626,155178,131721,289848,157642,131984
3,3,717754,502129,27470,156204,15755,16548,909,564595,405145,17599,116843,11992,12748,591,258909,82568,173978,322821,93356,225352,249154,66632,178882,0,0,0,316410,82862,230048,249026,9,243856
4,4,717754,575711,57537,56723,6614,23226,836,555217,459881,33850,40112,4593,17274,538,263025,57740,203153,326492,60120,262489,253180,41828,207953,0,0,0,323861,52911,267661,278548,805,274416
5,5,717754,486765,47408,138438,19813,27316,1583,560406,393794,29677,102735,14045,20338,1004,278897,105895,168699,346248,122869,216421,269762,88826,174870,0,0,0,353600,122382,224861,262433,0,250345
6,6,717755,510804,39453,133963,17229,15924,841,552411,405521,25174,96958,12084,11892,572,292780,94267,194563,355048,107240,241972,280311,76873,197365,0,0,0,350771,104195,240772,346710,102499,243833
7,7,717754,278409,32168,387622,12099,10130,891,568540,235601,21974,295119,9661,7802,599,291362,193443,95753,333149,212885,116367,262856,164506,95057,0,0,0,295911,181526,110577,292382,185902,106247
