ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,753947,447626,124734,156823,14905,16961,810,580667,367001,83050,109975,10674,12242,537,307280,173482,125885,340696,181830,153362,327083,161625,160330
2,2,753947,572604,85184,64160,15331,17181,980,571029,453103,52706,40851,11036,12294,619,284814,111715,163987,311444,117691,187982,299606,107779,187184
3,3,753947,606817,50151,57946,24118,14614,926,563485,468328,30778,37126,15490,10439,620,293331,101283,182253,328595,111653,209896,321169,107772,207943
4,4,753947,613531,53712,37411,31463,15168,3753,577297,481532,34013,23347,24655,11043,3374,304421,104522,189074,345295,118416,219016,333989,115001,212994
5,5,753947,611605,34792,57591,33321,14027,913,574610,479447,21767,38139,22495,10346,557,328373,130101,187123,369018,151395,210211,369170,150105,212150
6,6,753949,610472,39669,42050,45066,14715,1058,570671,479310,24119,25458,28890,10908,707,296118,98523,186539,331732,109388,215299,325610,107010,212902
7,7,753949,341540,111802,272334,20214,15795,1131,578117,291454,70431,192839,15824,11668,762,285444,193830,82733,303733,213497,84812,271247,189586,77134
8,8,753947,661160,23122,40583,10946,14313,1439,585235,522022,14371,27167,7756,10760,878,314095,118255,186767,343954,112349,225278,332397,103783,223052
9,9,753948,655649,31025,31119,17285,16669,1005,591468,523453,19694,20178,13399,12524,637,323340,120235,193479,356789,126279,224001,353491,121011,226651
