ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep
35,35,760066,140468,446255,58639,117674,29619,4817,577039,120955,319535,44031,89780,21377,3409,214516,130644,79814,290094,176058,107853,207979,114959,91221,260394,136333,116142
36,36,760066,420849,126932,39243,161956,14593,4551,634602,365202,98080,30729,130379,11578,3485,354858,249663,98302,421859,299632,113497,337552,230660,104289,385607,261900,111111
37,37,760066,99490,409691,193744,60398,27007,2855,592275,86465,298131,156977,50445,22198,1895,225636,198574,23557,279706,239694,34727,195643,162985,31088,235123,184949,42949
38,38,760067,101616,450094,16889,196613,26207,3134,592018,86641,335136,10119,159257,19535,1968,236170,149694,82082,305247,192239,106965,214588,122633,89962,261693,142692,110315
39,39,760067,148509,473263,81601,57765,31797,5566,560865,125727,328326,58340,44170,21740,3761,201903,124249,73627,266320,164929,95580,187040,105563,79967,235122,125176,102730
40,40,760066,359388,243980,44617,103710,23671,6624,581307,294097,168281,31406,77859,16712,4492,308060,130119,172481,397465,179744,210083,318383,134650,181351,381054,161580,208158
41,41,760065,163158,461976,41025,95336,30513,5538,590880,141516,341426,29082,74938,22929,3910,273131,168119,99391,348655,215396,125512,253607,145156,106261,310791,172644,128621
42,42,760067,343883,240878,55354,111032,22928,7077,620533,301502,176811,42725,89548,18347,5402,316371,180959,128471,388327,227988,151313,302989,167581,132899,349656,192310,146354
43,43,760067,52450,433512,201912,75741,27444,5906,569643,45349,307997,155908,60171,19946,4233,211941,176300,32003,270712,218705,46038,178629,138167,38823,223391,162810,53414
44,44,760067,60389,535795,86054,81117,31427,8851,577278,54019,391215,63997,65567,23573,6538,200517,157022,39667,261940,197434,58412,172482,122658,48141,219761,145044,67751
45,45,760066,151712,263412,26743,316279,19358,6717,603306,132700,190963,19128,255728,14321,5065,257454,142659,110054,336493,182099,148046,250354,129449,118941,300328,151753,139878
46,46,760066,132689,486278,23761,119649,31768,5503,579828,116973,346791,15716,96490,24915,3751,200578,127295,69223,260764,164307,90684,185449,109373,74367,227530,128596,91799
47,47,760065,353573,137878,21860,238792,13660,4246,607214,299582,101553,16291,182129,10102,2966,308515,167805,134821,383910,219008,157105,310263,166803,140438,357754,190234,154166
48,48,760066,325779,304909,44321,74155,31929,7238,580265,274728,208488,30504,54558,23016,5084,267893,133722,128944,341175,179202,154412,274700,138980,133667,328054,165384,154132
49,49,760067,434796,164145,26638,121957,18805,7387,591574,356610,116236,19096,88280,13692,5173,334172,179136,148315,406458,229526,167891,340960,183582,154583,388330,211925,164898
50,50,760066,417088,140896,32977,154045,18609,6928,627559,360378,104836,25286,123448,13949,5200,330968,186481,137181,404074,239765,154464,324731,185298,136593,371751,214074,146224
51,51,760067,385587,205434,68684,88812,24538,8772,608756,328618,148586,50274,70206,18237,6371,316762,186930,123290,388146,233972,145350,303323,177437,123361,355638,205084,140213
52,52,760066,117198,459616,68467,122027,29206,8184,580170,101922,333445,50356,95145,19792,5903,234203,156252,73531,306819,201155,99185,217868,132951,83146,272681,156736,108793
