ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,766987,456512,131370,149986,12466,21274,1024,585465,369670,83739,108939,8862,15937,719,276348,73502,198719,324129,89143,231048,0,0,0,325730,80850,241942,0,0,0
2,2,766987,377278,219272,101564,56906,21624,2454,565217,297654,145819,69485,41253,15528,1683,272501,97814,168919,330840,127510,198586,0,0,0,337080,127854,204811,0,0,0
3,3,766987,415627,149552,94200,91019,23390,1771,559537,323213,96391,63626,62400,16566,1156,275070,103182,165424,338661,136761,195871,0,0,0,370352,136992,223427,0,0,0
4,4,766987,440182,94705,80321,130942,23651,1592,576718,350322,63059,56851,89994,16573,1038,290307,108931,175513,356596,143877,207432,0,0,0,367744,134682,225235,0,0,0
5,5,766987,362141,228669,134474,29658,23947,1265,575347,295704,150962,95060,22003,17681,879,240195,95035,140690,285087,117612,163853,0,0,0,293398,113124,176352,0,0,0
6,6,766987,359233,243041,105042,44858,25215,3124,576920,292573,162723,74277,33913,18328,2012,251592,93682,152480,299767,118506,176747,0,0,0,309826,116800,187669,0,0,0
7,7,766987,215919,269732,133284,146116,17395,1498,592451,184825,194592,97504,112111,12829,1052,230811,147431,78287,277197,180252,92917,0,0,0,254110,153127,93619,0,0,0
8,8,766987,297571,261846,142464,57751,22603,1516,572866,240465,179318,100738,44499,16458,1039,230531,90659,135516,286810,115154,167935,0,0,0,308330,109560,194738,0,0,0
9,9,766987,192417,476484,80038,14619,22544,1059,555835,157067,325886,56937,11006,16542,742,171862,80136,88734,208344,93941,111907,0,0,0,198594,78639,118132,0,0,0
10,10,766987,458377,161528,79772,52840,19208,1521,607084,379564,114502,60167,40152,14552,1031,289247,115400,166722,346398,144424,195622,0,0,0,353548,134085,213878,0,0,0
11,11,766987,362807,296966,58335,38266,20827,2026,573499,293012,202469,40408,26867,15581,1361,244895,81025,158547,296164,101256,190220,0,0,0,292892,94213,194696,0,0,0
12,12,766987,381284,254786,82995,34453,23039,1948,574244,308850,171145,56726,25099,16955,1240,240507,93436,141600,294495,118763,170831,0,0,0,314205,117738,192719,0,0,0
13,13,766987,444351,215470,64153,25329,27251,1652,585859,362260,144047,44938,18286,20372,1083,253100,65762,181986,299628,81303,213331,0,0,0,303909,80162,220441,0,0,0
14,14,766987,385771,184950,132276,53395,19119,1281,576965,308968,124508,94913,38093,14013,879,266127,99570,161443,323319,124542,193976,0,0,0,335400,124943,206349,0,0,0
15,15,766987,117450,622979,14885,9596,12127,561,548298,98286,429437,10640,7098,8968,378,184425,94823,86317,227421,109875,115253,0,0,0,227873,92600,133315,0,0,0
16,16,766987,90505,628547,34815,17087,19040,2826,575747,74938,464487,23656,12433,14391,1796,206514,140568,59560,244595,163993,76842,0,0,0,229768,131985,94338,0,0,0
17,17,766987,422960,187315,94581,49557,22323,1940,577865,341177,124417,65715,33954,16360,1260,265976,105515,153674,319296,132377,180962,0,0,0,320775,123163,192428,0,0,0
18,18,766987,98096,272100,343660,57190,16893,1457,584155,86103,187931,262961,47882,12133,1010,226122,183641,38612,267580,217360,47152,0,0,0,243493,186782,53117,0,0,0
19,19,766987,384927,293914,61084,18348,20658,1585,578679,310685,201052,42663,13951,15494,988,235011,59792,170342,279814,73170,202442,0,0,0,282334,66862,212708,0,0,0
20,20,766987,123589,531165,87960,30499,23115,3012,577537,106250,386385,62291,22367,17754,2011,200873,137931,57789,248457,172231,72239,0,0,0,227227,144230,79593,0,0,0
21,21,766987,416457,265655,40779,34159,22343,4930,612155,350514,195204,29944,25925,17102,4128,330078,127367,194796,395339,161525,227694,0,0,0,414749,159472,249919,0,0,0
22,22,766987,329709,222036,93682,113903,16881,1267,561423,257479,151748,63985,80199,12186,795,263341,100061,157975,325011,131979,188014,0,0,0,335812,126899,201258,0,0,0
23,23,766987,233629,458207,42885,31647,17816,2560,563720,188414,320538,29422,21520,12813,1627,242633,108621,128685,302861,138493,160217,0,0,0,319049,133969,181141,0,0,0
24,24,766987,459976,136164,66748,86658,21006,4105,585881,371161,93052,45573,61257,15413,2702,326960,128188,191255,381542,164122,211300,0,0,0,373064,153071,213069,0,0,0
25,25,766987,358143,209569,159881,27639,22153,2198,576023,292948,137054,114359,20222,16448,1435,251142,101512,144879,300697,124453,172083,0,0,0,309215,115592,189981,0,0,0
26,26,766987,426299,155807,89220,78429,24694,1796,573937,338130,103298,61517,56278,17710,1161,286044,105579,173751,356628,142670,208544,0,0,0,387418,144950,237089,0,0,0
27,27,766987,337561,341748,61457,18461,20604,1365,575420,277142,232963,43358,12877,15392,879,254486,99382,149708,306351,124288,177080,0,0,0,324199,125739,194368,0,0,0
28,28,766987,56903,696384,5667,5991,11025,515,542258,46612,485321,3875,4475,8148,341,164526,99714,61601,207339,112597,92662,0,0,0,199009,88409,109042,0,0,0
29,29,766987,82842,448422,209561,28485,23753,2070,548260,70287,305260,149743,22489,16959,1438,161214,115754,42486,197198,139870,54929,0,0,0,179752,116000,61311,0,0,0
