ID,Label,T_20_CENS_ADJ_Total,T_20_CENS_ADJ_White,T_20_CENS_ADJ_Hispanic,T_20_CENS_ADJ_Black,T_20_CENS_ADJ_Asian,T_20_CENS_ADJ_Native,T_20_CENS_ADJ_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,771925,556865,43036,130577,26324,15712,1346,607726,455671,27377,94079,18575,11674,912,346105,127773,208145,412885,171274,230936,427049,171555,243356,414680,154985,246356
2,2,771926,458101,46530,200303,56186,12369,998,606852,378642,30831,147706,41572,9439,678,342648,180009,151113,394208,232384,150935,395335,227251,154851,384862,223856,152086
3,3,771925,440188,69306,153103,99064,14220,1543,593206,359531,45052,109182,70477,10871,1065,351909,188308,151374,417218,255269,149735,416995,249542,151360,399200,236681,151186
4,4,771925,82172,193821,451323,46901,15843,1305,599171,73778,131605,358207,38436,14951,1069,266897,233134,28160,304435,271634,26252,283398,240880,33369,270970,239596,30454
5,5,771924,338267,55443,334313,35545,17866,1991,597544,272785,36063,256656,25284,13369,1310,332811,202718,121301,419204,280869,128856,431467,280941,138217,418603,283619,133985
6,6,771926,466291,103695,114854,77692,14787,1418,600128,381499,69774,83444,56660,11796,974,310669,152052,149161,373942,200390,163854,390367,200059,177663,376647,199806,175978
7,7,771926,229512,65598,433275,35011,13640,1046,610826,198323,43910,334297,29375,11233,842,272604,209299,55738,312583,251744,54311,303970,236114,58120,290069,232790,49792
8,8,771926,341867,152244,146611,126121,12307,1382,599749,281131,107650,109418,96180,10300,999,342977,255209,78256,402553,321459,71532,389753,296235,78614,380297,292083,77817
