ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,653822,509174,71208,33246,25567,16109,1381,495560,401792,44433,19981,18138,10566,898,259731,104881,147409,316213,136856,171834,318301,136153,177663,312057,124498,187559
2,2,653847,443338,83564,78430,35895,17015,1391,484492,348415,51311,50868,23937,11089,922,257031,121150,128826,313187,163346,143563,316693,163541,148908,314567,154369,160198
3,3,653835,532175,79943,13097,7544,22136,1297,496075,419048,49553,7803,5269,14009,807,268242,61283,201755,322312,74381,241449,312165,70301,238245,302768,59287,243481
