ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,713311,587883,51121,34801,25845,11506,1278,549351,470076,31285,20105,17666,7832,822,338821,152809,168518,389730,172290,208063,296547,125457,159621,389557,167186,213794,377601,156375,220929
2,2,713312,536985,54131,56813,48872,14352,1182,535271,422973,34031,32860,33070,9432,765,363995,183075,161560,422175,221065,190867,325472,165583,148576,426655,220555,195780,417319,231751,175621
3,3,713311,509159,37414,80728,72348,12278,968,549165,416013,23791,49858,48773,8405,638,383063,213113,151188,435974,258519,167389,333935,198889,134805,424914,251791,161935,411157,240216,170437
4,4,713312,443863,52740,95983,108161,16493,1326,549351,372953,34272,60639,70316,11373,893,352307,228461,104518,397840,268899,119665,295973,200055,95493,378602,251495,117085,361043,242802,117618
5,5,713312,427555,72377,142909,54149,22548,1249,571885,373926,48922,94621,40674,16034,906,359413,276424,63396,398002,319421,69139,288206,214224,70702,369401,292800,65271,351047,261066,86213
6,6,713312,599561,26489,41293,28577,12815,917,528178,458504,16060,22856,18453,8485,596,350301,137941,193732,414967,165870,238883,319753,120846,198137,431989,168595,253243,416479,155829,260085
7,7,713312,628503,37738,16383,9584,18421,1514,544716,493732,22080,8837,5994,11372,890,339981,119846,205804,396627,128550,260006,305866,84455,204766,401008,123652,269504,390510,114979,275098
8,8,713312,620371,13630,14736,10168,49238,953,561116,500876,8326,9010,6585,31414,581,366105,164717,183107,421856,182463,230053,330080,141009,188755,431794,180905,242420,421606,176724,244498
