ID,Label,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep
0,Un,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,817904,643803,107794,17230,29180,18212,7598,584771,470465,68485,10562,20609,12494,4318,321519,103669,203304,375167,142903,216387,376428,144765,219981,365608,117285,230747
2,2,817904,578694,152715,19855,31199,23415,20419,594250,436443,99237,11999,22256,15999,12110,304811,105155,185244,362053,143188,205203,363454,140129,213956,353674,121060,205134
3,3,817904,636142,101123,12472,31563,27616,13160,592597,472396,65830,7430,21634,18634,7843,334631,102312,218676,390686,148962,225146,374760,145920,218258,364785,122612,242173
4,4,817904,606716,131280,17571,33146,17991,18070,552433,418696,83058,9888,21782,11647,10226,293834,83910,196881,359770,125229,218403,373149,131409,230887,363542,109800,230547
